,Recall,PositiveRating,PerformanceRatio,Impact
,0.323029366306028,0.511961722488038,3.34,17
,0.261205564142195,0.49112426035503,2.52,13
,0.734157650695518,0.808421052631579,13.71,59
,0.395672333848532,0.65625,6.22,26
,0.326120556414219,0.578199052132701,2.98,19
,0.482608695652174,0.477477477477478,3.12,23
,0.427230046948357,0.510989010989011,3.21,22
,0.577464788732395,0.544715447154472,3.72,31
,0.42,0.49,2.29,21
,0.41304347826087,0.526315789473684,2.38,22
,0.577464788732395,0.654471544715447,7.32,38
,0.36,0.45,2.64,16
,0.476525821596244,0.660098522167488,6.38,31
,0.45260663507109,0.591623036649215,4.71,27
,0.488479262672811,0.669811320754717,7.10,33
,0.46,0.64,4.88,29
,0.43,0.7,8.00,30
,0.756809338521401,0.683804627249357,6.19,52
,0.747081712062257,0.567708333333333,5.19,42
,0.704280155642023,0.577348066298343,4.98,41
,0.642023346303502,0.542424242424242,5.11,35
,0.632295719844358,0.513846153846154,3.41,32
,0.593385214007782,0.498360655737705,3.17,30
,0.542801556420233,0.465949820788531,2.55,25
,0.533073929961089,0.489051094890511,3.44,26
,0.523346303501946,0.50185873605948,3.21,26
,0.470817120622568,0.40495867768595,1.61,19
,0.463035019455253,0.445378151260504,2.52,21
,0.439688715953307,0.469026548672566,2.52,21
,0.400778210116732,0.383495145631068,1.44,15
,0.319066147859922,0.426829268292683,1.89,14
,0.266536964980545,0.503649635036496,2.76,13
,0.63,0.65,5.94,41
,0.67,0.6,3.82,40
,0.43,0.65,6.27,28
,0.22,0.59,6.44,13
,0.39,0.61,4.59,24
,0.580097087378641,0.615062761506276,5.25,36
,0.515965151216211,0.655268986735036,5.22,34
,0.451649324342474,0.502737889884667,2.61,23
,0.314347404346495,0.507065771184678,2.15,16
,0.46,0.73,6.11,34
,0.84,0.73,7.73,61
,0.793103448275862,0.755434782608696,13.90,60
,0.810344827586207,0.686170212765958,6.14,56
,0.754342431761786,0.588815789473684,3.89,44
,0.905707196029776,0.789041095890411,9.29,71
,0.741935483870968,0.642140468227425,7.38,48
,0.714640198511166,0.506944444444444,3.17,36
,0.655172413793104,0.631578947368421,5.05,41
,0.841191066997519,0.734513274336283,8.03,62
,0.387096774193548,0.5,2.52,19
,0.811414392059553,0.737003058103975,8.93,60
,0.771551724137931,0.748603351955307,8.38,58
,0.586206896551724,0.573529411764706,4.88,34
,0.47,0.51,3.36,24
,0.33,0.46,2.59,15
,0.72,0.63,4.20,45
,0.54,0.51,2.92,28
,0.606129,0.631086,4.68,38
,0.46,0.46,2.37,21
,0.68,0.59,3.98,40
,0.56,0.51,3.74,29
,0.5,0.5,3.04,25
,0.57,0.61,4.32,35
,0.695214,0.496377,2.45,35
,0.811083,0.642857,3.83,52
,0.755668,0.606667,4.33,46
,0.784211,0.530201,3.59,42
,0.778947,0.527027,3.00,41
,0.879093,0.544413,2.44,48
,0.798489,0.637224,5.18,51
,0.794737,0.642384,3.59,51
,0.438287,0.488506,3.04,21
,0.43073,0.444444,2.38,19
,0.63,0.6,4.43,38
,0.74,0.64,5.82,47
,0.66,0.57,4.08,38
,0.67,0.69,7.19,46
,0.65,0.57,3.72,37
,0.44,0.54,3.47,24
,0.46,0.59,4.59,27
,0.422457027055669,0.498443593989103,2.33,21
,0.345439933644649,0.419709710524574,1.39,14
,0.545850705408211,0.379438280706449,1.61,21
,0.803353103266026,0.785223826226189,6.49,63
,0.782381394397733,0.596644715306583,2.85,47
,0.764953575315738,0.611906106194495,4.19,47
,0.518729,0.56674,3.75,29
,0.634506,0.527728,2.48,33
,0.169126,0.610738,3.96,10
,0.58,0.48,2.14,28
,0.376489420602825,0.449997903472249,2.57,17
